2017-04-05 15:20:29.105
164   John Siracusa   7922   8246   -3.93%   2017-04-05 15:21:08.895   2017-04-05 15:21:09.363   0 days, 0 hours, 0 minutes, 0 seconds
166   Ryan Olson   903   1121   -19.45%   2017-04-05 15:21:09.365   2017-04-05 15:21:09.771   0 days, 0 hours, 0 minutes, 0 seconds
168   Dan Wolchonok   949   951   -0.21%   2017-04-05 15:21:09.773   2017-04-05 15:21:10.161   0 days, 0 hours, 0 minutes, 0 seconds
169   Arnold Zokas   4125   4096   0.71%   2017-04-05 15:21:10.161   2017-04-05 15:21:10.621   0 days, 0 hours, 0 minutes, 0 seconds
170   UberAlex   1897   1942   -2.32%   2017-04-05 15:21:10.621   2017-04-05 15:21:11.006   0 days, 0 hours, 0 minutes, 0 seconds
171   dagorym   1614   2035   -20.69%   2017-04-05 15:21:11.006   2017-04-05 15:21:11.525   0 days, 0 hours, 0 minutes, 0 seconds
172   Bruce the Hoon   542   578   -6.23%   2017-04-05 15:21:11.525   2017-04-05 15:21:12.267   0 days, 0 hours, 0 minutes, 0 seconds
173   Justin Walgran   390   552   -29.35%   2017-04-05 15:21:12.267   2017-04-05 15:21:13.188   0 days, 0 hours, 0 minutes, 0 seconds
175   engtech   1469   1614   -8.98%   2017-04-05 15:21:13.198   2017-04-05 15:21:13.698   0 days, 0 hours, 0 minutes, 0 seconds
177   Fred   1182   1083   9.14%   2017-04-05 15:21:13.706   2017-04-05 15:21:14.122   0 days, 0 hours, 0 minutes, 0 seconds
178   steve_mtl   477   480   -0.62%   2017-04-05 15:21:14.122   2017-04-05 15:21:14.518   0 days, 0 hours, 0 minutes, 0 seconds
179   Isaac Moses   515   588   -12.41%   2017-04-05 15:21:14.518   2017-04-05 15:21:15.06   0 days, 0 hours, 0 minutes, 0 seconds
181   Bill   1301   1423   -8.57%   2017-04-05 15:21:15.063   2017-04-05 15:21:15.467   0 days, 0 hours, 0 minutes, 0 seconds
183   Eric Davis   1561   1562   -0.06%   2017-04-05 15:21:15.474   2017-04-05 15:21:15.863   0 days, 0 hours, 0 minutes, 0 seconds
184   Niyaz   14852   16717   -11.16%   2017-04-05 15:21:15.868   2017-04-05 15:21:16.318   0 days, 0 hours, 0 minutes, 0 seconds
186   Swinders   877   1042   -15.83%   2017-04-05 15:21:16.32   2017-04-05 15:21:16.751   0 days, 0 hours, 0 minutes, 0 seconds
188   Matthew Schinckel   15722   16208   -3.0%   2017-04-05 15:21:16.759   2017-04-05 15:21:17.235   0 days, 0 hours, 0 minutes, 0 seconds
189   Seb   4944   5261   -6.03%   2017-04-05 15:21:17.236   2017-04-05 15:21:17.62   0 days, 0 hours, 0 minutes, 0 seconds
190   robaker   768   815   -5.77%   2017-04-05 15:21:17.62   2017-04-05 15:21:18.045   0 days, 0 hours, 0 minutes, 0 seconds
191   Ramesh Soni   5096   6253   -18.5%   2017-04-05 15:21:18.046   2017-04-05 15:21:18.538   0 days, 0 hours, 0 minutes, 0 seconds
192   tags2k   12130   11496   5.51%   2017-04-05 15:21:18.542   2017-04-05 15:21:18.941   0 days, 0 hours, 0 minutes, 0 seconds
193   Ronnie   3575   3832   -6.71%   2017-04-05 15:21:18.946   2017-04-05 15:21:19.444   0 days, 0 hours, 0 minutes, 0 seconds
194   Adam Haile   11500   12783   -10.04%   2017-04-05 15:21:19.45   2017-04-05 15:21:19.826   0 days, 0 hours, 0 minutes, 0 seconds
195   gil   893   831   7.46%   2017-04-05 15:21:19.827   2017-04-05 15:21:20.283   0 days, 0 hours, 0 minutes, 0 seconds
196   Spencer   176   183   -3.83%   2017-04-05 15:21:20.284   2017-04-05 15:21:20.78   0 days, 0 hours, 0 minutes, 0 seconds
197   Daan   3033   3435   -11.7%   2017-04-05 15:21:20.786   2017-04-05 15:21:21.15   0 days, 0 hours, 0 minutes, 0 seconds
198   dlinsin   6456   6086   6.08%   2017-04-05 15:21:21.15   2017-04-05 15:21:21.65   0 days, 0 hours, 0 minutes, 0 seconds
199   Brendan   6580   7803   -15.67%   2017-04-05 15:21:21.65   2017-04-05 15:21:22.109   0 days, 0 hours, 0 minutes, 0 seconds
200   John Downey   5788   6893   -16.03%   2017-04-05 15:21:22.109   2017-04-05 15:21:22.488   0 days, 0 hours, 0 minutes, 0 seconds
202   Christian Hagelid   3652   4908   -25.59%   2017-04-05 15:21:22.498   2017-04-05 15:21:23.022   0 days, 0 hours, 0 minutes, 0 seconds
203   Ben Mills   3938   5579   -29.41%   2017-04-05 15:21:23.022   2017-04-05 15:21:23.414   0 days, 0 hours, 0 minutes, 0 seconds
204   dragonmantank   4944   5426   -8.88%   2017-04-05 15:21:23.415   2017-04-05 15:21:23.912   0 days, 0 hours, 0 minutes, 0 seconds
205   Mike Powell   2821   2973   -5.11%   2017-04-05 15:21:23.922   2017-04-05 15:21:24.353   0 days, 0 hours, 0 minutes, 0 seconds
206   Chris Miller   2098   2564   -18.17%   2017-04-05 15:21:24.363   2017-04-05 15:21:24.842   0 days, 0 hours, 0 minutes, 0 seconds
207   James Sulak   10391   10384   0.07%   2017-04-05 15:21:24.843   2017-04-05 15:21:25.288   0 days, 0 hours, 0 minutes, 0 seconds
208   brad   13074   13223   -1.13%   2017-04-05 15:21:25.298   2017-04-05 15:21:25.767   0 days, 0 hours, 0 minutes, 0 seconds
209   CVertex   7348   7504   -2.08%   2017-04-05 15:21:25.768   2017-04-05 15:21:26.298   0 days, 0 hours, 0 minutes, 0 seconds
210   rfunduk   15215   15707   -3.13%   2017-04-05 15:21:26.299   2017-04-05 15:21:26.718   0 days, 0 hours, 0 minutes, 0 seconds
211   jhornnes   1275   1276   -0.08%   2017-04-05 15:21:26.721   2017-04-05 15:21:27.228   0 days, 0 hours, 0 minutes, 0 seconds
212   Mike Polen   602   3173   -81.03%   2017-04-05 15:21:27.235   2017-04-05 15:21:27.674   0 days, 0 hours, 0 minutes, 0 seconds
214   ICR   6504   7075   -8.07%   2017-04-05 15:21:27.68   2017-04-05 15:21:28.179   0 days, 0 hours, 0 minutes, 0 seconds
216   Joey deVilla   4134   4597   -10.07%   2017-04-05 15:21:28.188   2017-04-05 15:21:28.652   0 days, 0 hours, 0 minutes, 0 seconds
217   Jonathan Rauch   156   411   -62.04%   2017-04-05 15:21:28.652   2017-04-05 15:21:29.086   0 days, 0 hours, 0 minutes, 0 seconds
219   Rudd Zwolinski   7227   7052   2.48%   2017-04-05 15:21:29.092   2017-04-05 15:21:29.694   0 days, 0 hours, 0 minutes, 0 seconds
223   David Pokluda   3801   4364   -12.9%   2017-04-05 15:21:29.704   2017-04-05 15:21:30.191   0 days, 0 hours, 0 minutes, 0 seconds
224   vzczc   4421   5034   -12.18%   2017-04-05 15:21:30.199   2017-04-05 15:21:30.714   0 days, 0 hours, 0 minutes, 0 seconds
225   brendan   14886   15362   -3.1%   2017-04-05 15:21:30.722   2017-04-05 15:21:31.207   0 days, 0 hours, 0 minutes, 0 seconds
227   Ishmaeel   6844   7855   -12.87%   2017-04-05 15:21:31.216   2017-04-05 15:21:31.691   0 days, 0 hours, 0 minutes, 0 seconds
229   Brian Jorgensen   740   640   15.63%   2017-04-05 15:21:31.698   2017-04-05 15:21:32.167   0 days, 0 hours, 0 minutes, 0 seconds
230   Dan   8160   12338   -33.86%   2017-04-05 15:21:32.174   2017-04-05 15:21:32.599   0 days, 0 hours, 0 minutes, 0 seconds
231   FryHard   3880   4157   -6.66%   2017-04-05 15:21:32.599   2017-04-05 15:21:33.146   0 days, 0 hours, 0 minutes, 0 seconds
232   Matt Dawdy   5249   5554   -5.49%   2017-04-05 15:21:33.147   2017-04-05 15:21:33.566   0 days, 0 hours, 0 minutes, 0 seconds
233   Ray   21918   22695   -3.42%   2017-04-05 15:21:33.566   2017-04-05 15:21:34.176   0 days, 0 hours, 0 minutes, 0 seconds
234   Orion Edwards   53102   56057   -5.27%   2017-04-05 15:21:34.182   2017-04-05 15:21:34.714   0 days, 0 hours, 0 minutes, 0 seconds
235   Joshua McKinnon   12622   12912   -2.25%   2017-04-05 15:21:34.715   2017-04-05 15:21:35.255   0 days, 0 hours, 0 minutes, 0 seconds
